,amt_training_data,classifier_name,feature_name,feature_selector,result,split
202,0.6,RBF SVM,ngrams,None,0.35260115606936415,2
203,0.6,Decision Tree,ngrams,None,0.7514450867052023,2
204,0.6,Random Forest,ngrams,None,0.35260115606936415,2
205,0.6,AdaBoost,ngrams,None,0.6705202312138728,2
206,0.6,Naive Bayes,ngrams,None,0.6994219653179191,2
207,0.6,LDA,ngrams,None,0.5664739884393064,2
208,0.7000000000000001,Nearest Neighbors,ngrams,None,0.6358381502890174,2
209,0.7000000000000001,Linear SVM,ngrams,None,0.7687861271676301,2
210,0.7000000000000001,RBF SVM,ngrams,None,0.35260115606936415,2
211,0.7000000000000001,Decision Tree,ngrams,None,0.7052023121387283,2
212,0.7000000000000001,Random Forest,ngrams,None,0.3583815028901734,2
213,0.7000000000000001,AdaBoost,ngrams,None,0.6473988439306358,2
214,0.7000000000000001,Naive Bayes,ngrams,None,0.6878612716763006,2
215,0.7000000000000001,LDA,ngrams,None,0.4913294797687861,2
216,0.8,Nearest Neighbors,ngrams,None,0.6242774566473989,2
217,0.8,Linear SVM,ngrams,None,0.7398843930635838,2
218,0.8,RBF SVM,ngrams,None,0.35260115606936415,2
219,0.8,Decision Tree,ngrams,None,0.7398843930635838,2
220,0.8,Random Forest,ngrams,None,0.41040462427745666,2
221,0.8,AdaBoost,ngrams,None,0.6878612716763006,2
222,0.8,Naive Bayes,ngrams,None,0.6763005780346821,2
223,0.8,LDA,ngrams,None,0.43352601156069365,2
224,0.9,Nearest Neighbors,ngrams,None,0.6416184971098265,2
225,0.9,Linear SVM,ngrams,None,0.7745664739884393,2
226,0.9,RBF SVM,ngrams,None,0.35260115606936415,2
227,0.9,Decision Tree,ngrams,None,0.7456647398843931,2
228,0.9,Random Forest,ngrams,None,0.37572254335260113,2
229,0.9,AdaBoost,ngrams,None,0.6589595375722543,2
230,0.9,Naive Bayes,ngrams,None,0.6878612716763006,2
231,0.9,LDA,ngrams,None,0.5606936416184971,2
232,1.0,Nearest Neighbors,ngrams,None,0.6358381502890174,2
233,1.0,Linear SVM,ngrams,None,0.7803468208092486,2
234,1.0,RBF SVM,ngrams,None,0.35260115606936415,2
235,1.0,Decision Tree,ngrams,None,0.7456647398843931,2
236,1.0,Random Forest,ngrams,None,0.3815028901734104,2
237,1.0,AdaBoost,ngrams,None,0.653179190751445,2
238,1.0,Naive Bayes,ngrams,None,0.6878612716763006,2
239,1.0,LDA,ngrams,None,0.6011560693641619,2
240,0.1,Nearest Neighbors,ngrams,None,0.5664739884393064,3
241,0.1,Linear SVM,ngrams,None,0.7052023121387283,3
242,0.1,RBF SVM,ngrams,None,0.31213872832369943,3
243,0.1,Decision Tree,ngrams,None,0.6936416184971098,3
244,0.1,Random Forest,ngrams,None,0.5606936416184971,3
245,0.1,AdaBoost,ngrams,None,0.6127167630057804,3
246,0.1,Naive Bayes,ngrams,None,0.5317919075144508,3
247,0.1,LDA,ngrams,None,0.4624277456647399,3
248,0.2,Nearest Neighbors,ngrams,None,0.6069364161849711,3
249,0.2,Linear SVM,ngrams,None,0.7803468208092486,3
250,0.2,RBF SVM,ngrams,None,0.35260115606936415,3
251,0.2,Decision Tree,ngrams,None,0.7225433526011561,3
252,0.2,Random Forest,ngrams,None,0.3872832369942196,3
253,0.2,AdaBoost,ngrams,None,0.653179190751445,3
254,0.2,Naive Bayes,ngrams,None,0.6184971098265896,3
255,0.2,LDA,ngrams,None,0.5722543352601156,3
256,0.30000000000000004,Nearest Neighbors,ngrams,None,0.6763005780346821,3
257,0.30000000000000004,Linear SVM,ngrams,None,0.7341040462427746,3
258,0.30000000000000004,RBF SVM,ngrams,None,0.35260115606936415,3
259,0.30000000000000004,Decision Tree,ngrams,None,0.6994219653179191,3
260,0.30000000000000004,Random Forest,ngrams,None,0.3930635838150289,3
261,0.30000000000000004,AdaBoost,ngrams,None,0.6647398843930635,3
262,0.30000000000000004,Naive Bayes,ngrams,None,0.6127167630057804,3
263,0.30000000000000004,LDA,ngrams,None,0.6127167630057804,3
264,0.4,Nearest Neighbors,ngrams,None,0.6705202312138728,3
265,0.4,Linear SVM,ngrams,None,0.7456647398843931,3
266,0.4,RBF SVM,ngrams,None,0.31213872832369943,3
267,0.4,Decision Tree,ngrams,None,0.7167630057803468,3
268,0.4,Random Forest,ngrams,None,0.32947976878612717,3
269,0.4,AdaBoost,ngrams,None,0.7456647398843931,3
270,0.4,Naive Bayes,ngrams,None,0.6473988439306358,3
271,0.4,LDA,ngrams,None,0.6127167630057804,3
272,0.5,Nearest Neighbors,ngrams,None,0.6936416184971098,3
273,0.5,Linear SVM,ngrams,None,0.7630057803468208,3
274,0.5,RBF SVM,ngrams,None,0.35260115606936415,3
275,0.5,Decision Tree,ngrams,None,0.7630057803468208,3
276,0.5,Random Forest,ngrams,None,0.36416184971098264,3
277,0.5,AdaBoost,ngrams,None,0.6936416184971098,3
278,0.5,Naive Bayes,ngrams,None,0.6647398843930635,3
279,0.5,LDA,ngrams,None,0.6358381502890174,3
280,0.6,Nearest Neighbors,ngrams,None,0.6763005780346821,3
281,0.6,Linear SVM,ngrams,None,0.7976878612716763,3
282,0.6,RBF SVM,ngrams,None,0.35260115606936415,3
283,0.6,Decision Tree,ngrams,None,0.7572254335260116,3
284,0.6,Random Forest,ngrams,None,0.3872832369942196,3
285,0.6,AdaBoost,ngrams,None,0.7225433526011561,3
286,0.6,Naive Bayes,ngrams,None,0.6878612716763006,3
287,0.6,LDA,ngrams,None,0.5491329479768786,3
288,0.7000000000000001,Nearest Neighbors,ngrams,None,0.6705202312138728,3
289,0.7000000000000001,Linear SVM,ngrams,None,0.7456647398843931,3
290,0.7000000000000001,RBF SVM,ngrams,None,0.35260115606936415,3
291,0.7000000000000001,Decision Tree,ngrams,None,0.7572254335260116,3
292,0.7000000000000001,Random Forest,ngrams,None,0.3699421965317919,3
293,0.7000000000000001,AdaBoost,ngrams,None,0.7341040462427746,3
294,0.7000000000000001,Naive Bayes,ngrams,None,0.6647398843930635,3
295,0.7000000000000001,LDA,ngrams,None,0.6242774566473989,3
296,0.8,Nearest Neighbors,ngrams,None,0.6936416184971098,3
297,0.8,Linear SVM,ngrams,None,0.8034682080924855,3
298,0.8,RBF SVM,ngrams,None,0.35260115606936415,3
299,0.8,Decision Tree,ngrams,None,0.7745664739884393,3
300,0.8,Random Forest,ngrams,None,0.3583815028901734,3
301,0.8,AdaBoost,ngrams,None,0.6705202312138728,3
302,0.8,Naive Bayes,ngrams,None,0.6763005780346821,3
303,0.8,LDA,ngrams,None,0.4393063583815029,3
304,0.9,Nearest Neighbors,ngrams,None,0.6878612716763006,3
305,0.9,Linear SVM,ngrams,None,0.7861271676300579,3
306,0.9,RBF SVM,ngrams,None,0.35260115606936415,3
307,0.9,Decision Tree,ngrams,None,0.7630057803468208,3
308,0.9,Random Forest,ngrams,None,0.3583815028901734,3
309,0.9,AdaBoost,ngrams,None,0.6936416184971098,3
310,0.9,Naive Bayes,ngrams,None,0.6878612716763006,3
311,0.9,LDA,ngrams,None,0.4682080924855491,3
312,1.0,Nearest Neighbors,ngrams,None,0.6936416184971098,3
313,1.0,Linear SVM,ngrams,None,0.7861271676300579,3
314,1.0,RBF SVM,ngrams,None,0.35260115606936415,3
315,1.0,Decision Tree,ngrams,None,0.7630057803468208,3
316,1.0,Random Forest,ngrams,None,0.35260115606936415,3
317,1.0,AdaBoost,ngrams,None,0.6878612716763006,3
318,1.0,Naive Bayes,ngrams,None,0.6878612716763006,3
319,1.0,LDA,ngrams,None,0.48554913294797686,3
320,0.1,Nearest Neighbors,ngrams,None,0.5375722543352601,4
321,0.1,Linear SVM,ngrams,None,0.630057803468208,4
322,0.1,RBF SVM,ngrams,None,0.35260115606936415,4
323,0.1,Decision Tree,ngrams,None,0.6589595375722543,4
324,0.1,Random Forest,ngrams,None,0.3583815028901734,4
325,0.1,AdaBoost,ngrams,None,0.6069364161849711,4
326,0.1,Naive Bayes,ngrams,None,0.5433526011560693,4
327,0.1,LDA,ngrams,None,0.5202312138728323,4
328,0.2,Nearest Neighbors,ngrams,None,0.5549132947976878,4
329,0.2,Linear SVM,ngrams,None,0.6878612716763006,4
330,0.2,RBF SVM,ngrams,None,0.35260115606936415,4
331,0.2,Decision Tree,ngrams,None,0.630057803468208,4
332,0.2,Random Forest,ngrams,None,0.4046242774566474,4
333,0.2,AdaBoost,ngrams,None,0.6011560693641619,4
334,0.2,Naive Bayes,ngrams,None,0.6069364161849711,4
335,0.2,LDA,ngrams,None,0.5491329479768786,4
336,0.30000000000000004,Nearest Neighbors,ngrams,None,0.6011560693641619,4
337,0.30000000000000004,Linear SVM,ngrams,None,0.6878612716763006,4
338,0.30000000000000004,RBF SVM,ngrams,None,0.35260115606936415,4
339,0.30000000000000004,Decision Tree,ngrams,None,0.6878612716763006,4
340,0.30000000000000004,Random Forest,ngrams,None,0.37572254335260113,4
341,0.30000000000000004,AdaBoost,ngrams,None,0.630057803468208,4
342,0.30000000000000004,Naive Bayes,ngrams,None,0.6473988439306358,4
343,0.30000000000000004,LDA,ngrams,None,0.5549132947976878,4
344,0.4,Nearest Neighbors,ngrams,None,0.6242774566473989,4
345,0.4,Linear SVM,ngrams,None,0.7630057803468208,4
346,0.4,RBF SVM,ngrams,None,0.31213872832369943,4
347,0.4,Decision Tree,ngrams,None,0.6820809248554913,4
348,0.4,Random Forest,ngrams,None,0.3699421965317919,4
349,0.4,AdaBoost,ngrams,None,0.6069364161849711,4
350,0.4,Naive Bayes,ngrams,None,0.6936416184971098,4
351,0.4,LDA,ngrams,None,0.5838150289017341,4
352,0.5,Nearest Neighbors,ngrams,None,0.6069364161849711,4
353,0.5,Linear SVM,ngrams,None,0.7167630057803468,4
354,0.5,RBF SVM,ngrams,None,0.35260115606936415,4
355,0.5,Decision Tree,ngrams,None,0.6820809248554913,4
356,0.5,Random Forest,ngrams,None,0.36416184971098264,4
357,0.5,AdaBoost,ngrams,None,0.6011560693641619,4
358,0.5,Naive Bayes,ngrams,None,0.6820809248554913,4
359,0.5,LDA,ngrams,None,0.6011560693641619,4
360,0.6,Nearest Neighbors,ngrams,None,0.6184971098265896,4
361,0.6,Linear SVM,ngrams,None,0.7687861271676301,4
362,0.6,RBF SVM,ngrams,None,0.35260115606936415,4
363,0.6,Decision Tree,ngrams,None,0.7109826589595376,4
364,0.6,Random Forest,ngrams,None,0.37572254335260113,4
365,0.6,AdaBoost,ngrams,None,0.6589595375722543,4
366,0.6,Naive Bayes,ngrams,None,0.7225433526011561,4
367,0.6,LDA,ngrams,None,0.6127167630057804,4
368,0.7000000000000001,Nearest Neighbors,ngrams,None,0.6127167630057804,4
369,0.7000000000000001,Linear SVM,ngrams,None,0.7687861271676301,4
370,0.7000000000000001,RBF SVM,ngrams,None,0.35260115606936415,4
