,amount,feature_name,result,split
304,0.1,+all_words_in_dict,0.7058823529411765,6
305,0.2,ngrams,0.6411764705882353,6
306,0.2,+has_malay_road_tag,0.6588235294117647,6
307,0.2,+num_words,0.6588235294117647,6
308,0.2,+ave_word_length,0.6823529411764706,6
309,0.2,+all_words_in_dict,0.7352941176470589,6
310,0.30000000000000004,ngrams,0.7411764705882353,6
311,0.30000000000000004,+has_malay_road_tag,0.7235294117647059,6
312,0.30000000000000004,+num_words,0.7235294117647059,6
313,0.30000000000000004,+ave_word_length,0.7235294117647059,6
314,0.30000000000000004,+all_words_in_dict,0.7470588235294118,6
315,0.4,ngrams,0.7,6
316,0.4,+has_malay_road_tag,0.7,6
317,0.4,+num_words,0.7,6
318,0.4,+ave_word_length,0.7058823529411765,6
319,0.4,+all_words_in_dict,0.7411764705882353,6
320,0.5,ngrams,0.7352941176470589,6
321,0.5,+has_malay_road_tag,0.7352941176470589,6
322,0.5,+num_words,0.7352941176470589,6
323,0.5,+ave_word_length,0.7411764705882353,6
324,0.5,+all_words_in_dict,0.7294117647058823,6
325,0.6,ngrams,0.7411764705882353,6
326,0.6,+has_malay_road_tag,0.7470588235294118,6
327,0.6,+num_words,0.7470588235294118,6
328,0.6,+ave_word_length,0.7588235294117647,6
329,0.6,+all_words_in_dict,0.788235294117647,6
330,0.7000000000000001,ngrams,0.7176470588235294,6
331,0.7000000000000001,+has_malay_road_tag,0.7235294117647059,6
332,0.7000000000000001,+num_words,0.7294117647058823,6
333,0.7000000000000001,+ave_word_length,0.7294117647058823,6
334,0.7000000000000001,+all_words_in_dict,0.7411764705882353,6
335,0.8,ngrams,0.7529411764705882,6
336,0.8,+has_malay_road_tag,0.7529411764705882,6
337,0.8,+num_words,0.7529411764705882,6
338,0.8,+ave_word_length,0.7470588235294118,6
339,0.8,+all_words_in_dict,0.7764705882352941,6
340,0.9,ngrams,0.7411764705882353,6
341,0.9,+has_malay_road_tag,0.7294117647058823,6
342,0.9,+num_words,0.7352941176470589,6
343,0.9,+ave_word_length,0.7352941176470589,6
344,0.9,+all_words_in_dict,0.7705882352941177,6
345,1.0,ngrams,0.7647058823529411,6
346,1.0,+has_malay_road_tag,0.7470588235294118,6
347,1.0,+num_words,0.7588235294117647,6
348,1.0,+ave_word_length,0.7647058823529411,6
349,1.0,+all_words_in_dict,0.7941176470588235,6
350,0.1,ngrams,0.5470588235294118,7
351,0.1,+has_malay_road_tag,0.6176470588235294,7
352,0.1,+num_words,0.6352941176470588,7
353,0.1,+ave_word_length,0.6470588235294118,7
354,0.1,+all_words_in_dict,0.7176470588235294,7
355,0.2,ngrams,0.6529411764705882,7
356,0.2,+has_malay_road_tag,0.6647058823529411,7
357,0.2,+num_words,0.6705882352941176,7
358,0.2,+ave_word_length,0.6941176470588235,7
359,0.2,+all_words_in_dict,0.711764705882353,7
360,0.30000000000000004,ngrams,0.7058823529411765,7
361,0.30000000000000004,+has_malay_road_tag,0.7529411764705882,7
362,0.30000000000000004,+num_words,0.7588235294117647,7
363,0.30000000000000004,+ave_word_length,0.7588235294117647,7
364,0.30000000000000004,+all_words_in_dict,0.7647058823529411,7
365,0.4,ngrams,0.6882352941176471,7
366,0.4,+has_malay_road_tag,0.6941176470588235,7
367,0.4,+num_words,0.7,7
368,0.4,+ave_word_length,0.7294117647058823,7
369,0.4,+all_words_in_dict,0.711764705882353,7
370,0.5,ngrams,0.7058823529411765,7
371,0.5,+has_malay_road_tag,0.7176470588235294,7
372,0.5,+num_words,0.7176470588235294,7
373,0.5,+ave_word_length,0.7352941176470589,7
374,0.5,+all_words_in_dict,0.7823529411764706,7
375,0.6,ngrams,0.7,7
376,0.6,+has_malay_road_tag,0.711764705882353,7
377,0.6,+num_words,0.711764705882353,7
378,0.6,+ave_word_length,0.7294117647058823,7
379,0.6,+all_words_in_dict,0.7705882352941177,7
380,0.7000000000000001,ngrams,0.7294117647058823,7
381,0.7000000000000001,+has_malay_road_tag,0.7411764705882353,7
382,0.7000000000000001,+num_words,0.7470588235294118,7
383,0.7000000000000001,+ave_word_length,0.7529411764705882,7
384,0.7000000000000001,+all_words_in_dict,0.788235294117647,7
385,0.8,ngrams,0.7529411764705882,7
386,0.8,+has_malay_road_tag,0.7647058823529411,7
387,0.8,+num_words,0.7647058823529411,7
388,0.8,+ave_word_length,0.7588235294117647,7
389,0.8,+all_words_in_dict,0.7823529411764706,7
